"מק""ט",שם המוצר,קטגוריה,מותג,צבע,כמות באריזה,כמות במשטח,מידות,שם באנגלית,קטגוריה באנגלית,אימוג'י,תמונה,תמונות נוספות,תמונת מפרט,תמונות מפרט
6006224425,ברז PPR סמוי (ציפוי כרום - כולל ידית) 25,ברזים PPR,פולירול,,,,"R: 13 | H3: 35 | H2: 27 | H1: 45 | G: 16 | F: 106 | E2: 46 | E1: 47 | D3: 24 | D2: 64 | D1: 24.2 | B: 47 | A: 77 | מק""ט חוליות: 6006224425 | יצרן: Polyroll",PPR Valve 25,PPR Valves,🚰,ppr_p62_a.jpg,,,
6006224432,ברז PPR סמוי (ציפוי כרום - כולל ידית) 32,ברזים PPR,פולירול,,,,"R: 13 | H3: 35 | H2: 27 | H1: 53 | G: 18 | F: 126 | E2: 66 | E1: 47 | D3: 24 | D2: 64 | D1: 31.1 | B: 67 | A: 80 | מק""ט חוליות: 6006224432 | יצרן: Polyroll",PPR Valve 32,PPR Valves,🚰,ppr_p62_a.jpg,,,
6006324420,ברז PPR סמוי (ציפוי כרום - ללא ידית) 20,ברזים PPR,פולירול,,,,"I: 12 | H2: 41 | H1: 38 | G: 15 | F: 89 | E1: 43 | E: 24 | D2: 64 | D1: 19.2 | B: 29 | A: 68 | מק""ט חוליות: 6006324420 | יצרן: Polyroll",PPR Valve 20,PPR Valves,🚰,ppr_p63_a.jpg,,,
6006324425,ברז PPR סמוי (ציפוי כרום - ללא ידית) 25,ברזים PPR,פולירול,,,,"I: 12 | H2: 41 | H1: 45 | G: 16 | F: 92 | E1: 46 | E: 24 | D2: 64 | D1: 24.2 | B: 47 | A: 77 | מק""ט חוליות: 6006324425 | יצרן: Polyroll",PPR Valve 25,PPR Valves,🚰,ppr_p63_a.jpg,,,
6006324432,ברז PPR סמוי (ציפוי כרום - ללא ידית) 32,ברזים PPR,פולירול,,,,"I: 12 | H2: 41 | H1: 53 | G: 18 | F: 112 | E1: 66 | E: 24 | D2: 64 | D1: 31.1 | B: 67 | A: 80 | מק""ט חוליות: 6006324432 | יצרן: Polyroll",PPR Valve 32,PPR Valves,🚰,ppr_p63_a.jpg,,,
6007002020,אומגה PPR 20,אומגה PPR,פולירול,,,,"R: 61.2 | E: 20 | D: 22 | C: 42 | B: 80 | A: 300 | מק""ט חוליות: 6007002020 | יצרן: Polyroll",PPR Omega 20,PPR Omega,🛟,ppr_p74_b.jpg,,,
6007002025,אומגה PPR 25,אומגה PPR,פולירול,,,,"R: 81.8 | E: 25 | D: 27 | C: 52 | B: 75 | A: 330 | מק""ט חוליות: 6007002025 | יצרן: Polyroll",PPR Omega 25,PPR Omega,🛟,ppr_p74_b.jpg,,,
6007002032,אומגה PPR 32,אומגה PPR,פולירול,,,,"R: 97.5 | E: 32 | D: 34 | C: 64 | B: 80 | A: 380 | מק""ט חוליות: 6007002032 | יצרן: Polyroll",PPR Omega 32,PPR Omega,🛟,ppr_p74_b.jpg,,,
60150328,סט Aqua Slim 330 ניירוסטה דגם ריבועים,מאסף קווי AQUA SLIM,חוליות,,,,"יצרן: חוליות | מק""ט חוליות: 60150328 | שם: Aqua Slim 330 סט נירוסטה דגם ריבועים | חומר: ABS+נירוסטה | L: 330 | L1: 360 | L2: 83.4 | H: 62.2 | H1: 12","Aqua Slim 330 Stainless Steel Set, Squares Model",מאסף קווי AQUA SLIM,🚰,sml_p27_a.jpg,,,
60150331,סט Aqua Slim 330 ניירוסטה דגם פסים,מאסף קווי AQUA SLIM,חוליות,,,,"יצרן: חוליות | מק""ט חוליות: 60150331 | שם: Aqua Slim 330 סט נירוסטה דגם פסים | חומר: ABS+נירוסטה | L: 330 | L1: 360 | L2: 83.4 | H: 62.2 | H1: 12","Aqua Slim 330 Stainless Steel Set, Stripes Model",מאסף קווי AQUA SLIM,🚰,sml_p27_c.jpg,,,
60150698,סט Aqua Slim 700 ניירוסטה דגם ריבועים,מאסף קווי AQUA SLIM,חוליות,,,,"יצרן: חוליות | מק""ט חוליות: 60150698 | שם: Aqua Slim 700 סט נירוסטה דגם ריבועים | חומר: ABS+נירוסטה | L: 700 | L1: 730 | L2: 84.4 | H: 65.7 | H1: 15","Aqua Slim 700 Stainless Steel Set, Squares Model",מאסף קווי AQUA SLIM,🚰,sml_p27_b.jpg,,,
60150701,סט Aqua Slim 700 ניירוסטה דגם פסים,מאסף קווי AQUA SLIM,חוליות,,,,"יצרן: חוליות | מק""ט חוליות: 60150701 | שם: Aqua Slim 700 סט נירוסטה דגם פסים | חומר: ABS+נירוסטה | L: 700 | L1: 730 | L2: 84.4 | H: 65.7 | H1: 15","Aqua Slim 700 Stainless Steel Set, Stripes Model",מאסף קווי AQUA SLIM,🚰,sml_p27_c.jpg,,,
60159391,פס Aqua Slim 330 נירוסטה דגם מלא/אריח,מאסף קווי AQUA SLIM,חוליות,,,,"יצרן: חוליות | מק""ט חוליות: 60159391 | שם: Aqua Slim 330 פס נירוסטה דגם מלא/אריח | חומר: נירוסטה | L1: 316 | L2: 38.5","Aqua Slim 330 Stainless Steel Strip, Solid/Tile Model",מאסף קווי AQUA SLIM,🚰,sml_p27_c.jpg,,,
60159394,פס Aqua Slim 330 נירוסטה דגם ריבועים,מאסף קווי AQUA SLIM,חוליות,,,,"יצרן: חוליות | מק""ט חוליות: 60159394 | שם: Aqua Slim 330 פס נירוסטה דגם ריבועים | חומר: נירוסטה | L1: 316 | L2: 38.5","Aqua Slim 330 Stainless Steel Strip, Squares Model",מאסף קווי AQUA SLIM,🚰,sml_p27_c.jpg,,,
60159399,פס Aqua Slim 330 נירוסטה דגם פסים,מאסף קווי AQUA SLIM,חוליות,,,,"יצרן: חוליות | מק""ט חוליות: 60159399 | שם: Aqua Slim 330 פס נירוסטה דגם פסים | חומר: נירוסטה | L1: 316 | L2: 38.5","Aqua Slim 330 Stainless Steel Strip, Stripes Model",מאסף קווי AQUA SLIM,🚰,sml_p27_c.jpg,,,
60159491,פס Aqua Slim 700 נירוסטה דגם מלא/אריח,מאסף קווי AQUA SLIM,חוליות,,,,"יצרן: חוליות | מק""ט חוליות: 60159491 | שם: Aqua Slim 700 פס נירוסטה דגם מלא/אריח | חומר: נירוסטה | L1: 684.4 | L2: 38.5","Aqua Slim 700 Stainless Steel Strip, Solid/Tile Model",מאסף קווי AQUA SLIM,🚰,sml_p27_c.jpg,,,
60159494,פס Aqua Slim 700 נירוסטה דגם ריבועים,מאסף קווי AQUA SLIM,חוליות,,,,"יצרן: חוליות | מק""ט חוליות: 60159494 | שם: Aqua Slim 700 פס נירוסטה דגם ריבועים | חומר: נירוסטה | L1: 684.4 | L2: 38.5","Aqua Slim 700 Stainless Steel Strip, Squares Model",מאסף קווי AQUA SLIM,🚰,sml_p27_c.jpg,,,
60159499,פס Aqua Slim 700 נירוסטה דגם פסים,מאסף קווי AQUA SLIM,חוליות,,,,"יצרן: חוליות | מק""ט חוליות: 60159499 | שם: Aqua Slim 700 פס נירוסטה דגם פסים | חומר: נירוסטה | L1: 684.4 | L2: 38.5","Aqua Slim 700 Stainless Steel Strip, Stripes Model",מאסף קווי AQUA SLIM,🚰,sml_p27_c.jpg,,,
60200251,הגבהה פתח רבוע אפור,"מכסים, הגבהות ורשתות",חוליות,,,,"יצרן: חוליות | מק""ט חוליות: 60200251 | סימון: אפור | חומר: PP | DN: 98.2 | L1: 104 | L2: 80 | H: 11","Square Opening Riser, Gray","מכסים, הגבהות ורשתות",🚰,sml_p28_a.jpg,,,
60200260,הגבהה פתח רבוע בז',"מכסים, הגבהות ורשתות",חוליות,,,,"יצרן: חוליות | מק""ט חוליות: 60200260 | סימון: בז' | חומר: PP | DN: 98.2 | L1: 104 | L2: 80 | H: 11 | יח׳/ארגז: 80 | יח׳/משטח: 1,920","Square Opening Riser, Beige","מכסים, הגבהות ורשתות",🚰,sml_p28_a.jpg,,,
60200351,Top Floor הגבהה אוניברסלית לאריח עם מכסה אטום מונע ריחות,"מכסים, הגבהות ורשתות",חוליות,,,,"יצרן: חוליות | מק""ט חוליות: 60200351 | סימון: אפור | חומר: ABS | DN: 98 | L1: 66.5 | L2: 103 | H: 6.7",Top Floor Universal Tile Riser with Sealed Odor-Preventing Cover,"מכסים, הגבהות ורשתות",🚰,sml_p28_b.jpg,,,
60203651,הגבהה גלילית,"מכסים, הגבהות ורשתות",חוליות,,,,"יצרן: חוליות | מק""ט חוליות: 60203651 | סימון: שחור | חומר: PP | DN: 98.2 | H1: 69 | H2: 90",Cylindrical Riser,"מכסים, הגבהות ורשתות",🚰,sml_p28_c.jpg,,,
60300160,מכסה עגול זמני,"מכסים, הגבהות ורשתות",חוליות,,,,"יצרן: חוליות | מק""ט חוליות: 60300160 | חומר: PP | DN: 98 | D: 98 | H: 13.3",Temporary Round Cover,"מכסים, הגבהות ורשתות",🚰,sml_p28_d.jpg,,,
60300251,מכסה עגול קבוע אפור 130,"מכסים, הגבהות ורשתות",חוליות,,,,"יצרן: חוליות | מק""ט חוליות: 60300251 | חומר: PP | DN: 130 | D: 98.2 | H: 2.5",Fixed Round Cover Gray 130,"מכסים, הגבהות ורשתות",🚰,sml_p29_b.jpg,,,
60300263,מכסה עגול קבוע בז' 117,"מכסים, הגבהות ורשתות",חוליות,,,,"יצרן: חוליות | מק""ט חוליות: 60300263 | חומר: PP | DN: 117 | D: 98.2 | H: 2.5",Fixed Round Cover Beige 117,"מכסים, הגבהות ורשתות",🚰,sml_p29_b.jpg,,,
60300351,מכסה עגול מוגבה אפור,"מכסים, הגבהות ורשתות",חוליות,,,,"יצרן: חוליות | מק""ט חוליות: 60300351 | חומר: PP | DN: 111 | D: 98.2 | L: 42 | H: 2.5",Raised Round Cover Gray,"מכסים, הגבהות ורשתות",🚰,sml_p29_a.jpg,,,
60300367,מכסה עגול מוגבה בז',"מכסים, הגבהות ורשתות",חוליות,,,,"יצרן: חוליות | מק""ט חוליות: 60300367 | חומר: PP | DN: 111 | D: 98.2 | L: 42 | H: 2.5",Raised Round Cover Beige,"מכסים, הגבהות ורשתות",🚰,sml_p29_a.jpg,,,
60300451,מכסה ריבועי פנימי אפור,"מכסים, הגבהות ורשתות",חוליות,,,,"יצרן: חוליות | מק""ט חוליות: 60300451 | חומר: PP | L: 103 | H: 5",Inner Square Cover Gray,"מכסים, הגבהות ורשתות",🚰,sml_p29_d.jpg,,,
60300467,מכסה ריבועי פנימי בז',"מכסים, הגבהות ורשתות",חוליות,,,,"יצרן: חוליות | מק""ט חוליות: 60300467 | חומר: PP | L: 103 | H: 5",Inner Square Cover Beige,"מכסים, הגבהות ורשתות",🚰,sml_p29_d.jpg,,,
60300551,מכסה ריבועי חיצוני אפור,"מכסים, הגבהות ורשתות",חוליות,,,,"יצרן: חוליות | מק""ט חוליות: 60300551 | חומר: PP | L: 112 | H: 2.5",Outer Square Cover Gray,"מכסים, הגבהות ורשתות",🚰,sml_p29_c.jpg,,,
60300567,מכסה ריבועי חיצוני בז',"מכסים, הגבהות ורשתות",חוליות,,,,"יצרן: חוליות | מק""ט חוליות: 60300567 | חומר: PP | L: 112 | H: 2.5",Outer Square Cover Beige,"מכסים, הגבהות ורשתות",🚰,sml_p29_c.jpg,,,
60400140,רשת מצופה ניקל,"מכסים, הגבהות ורשתות",חוליות,,,,"יצרן: חוליות | מק""ט חוליות: 60400140 | חומר: ABS | DN: 104 | D: 98.2 | H: 2.5",Nickel-Plated Strainer,"מכסים, הגבהות ורשתות",🚰,sml_p30_b.jpg,,,
60400151,רשת עגולה אפור,"מכסים, הגבהות ורשתות",חוליות,,,,"יצרן: חוליות | מק""ט חוליות: 60400151 | חומר: ABS | DN: 104 | D: 98.2 | H: 2.5",Round Strainer Gray,"מכסים, הגבהות ורשתות",🚰,sml_p30_c.jpg,,,
60400163,רשת עגולה בז',"מכסים, הגבהות ורשתות",חוליות,,,,"יצרן: חוליות | מק""ט חוליות: 60400163 | חומר: ABS | DN: 104 | D: 98.2 | H: 2.5",Round Strainer Beige,"מכסים, הגבהות ורשתות",🚰,sml_p30_c.jpg,,,
60400251,רשת מוגבהת עגולה אפור,"מכסים, הגבהות ורשתות",חוליות,,,,"יצרן: חוליות | מק""ט חוליות: 60400251 | חומר: ABS | DN: 104 | D: 98.2 | L: 43 | H: 2.5",Raised Round Strainer Gray,"מכסים, הגבהות ורשתות",🚰,sml_p30_a.jpg,,,
60400260,רשת מוגבהת עגולה בז',"מכסים, הגבהות ורשתות",חוליות,,,,"יצרן: חוליות | מק""ט חוליות: 60400260 | חומר: ABS | DN: 104 | D: 98.2 | L: 43 | H: 2.5",Raised Round Strainer Beige,"מכסים, הגבהות ורשתות",🚰,sml_p30_a.jpg,,,
60400351,רשת רבועה אפור,"מכסים, הגבהות ורשתות",חוליות,,,,"יצרן: חוליות | מק""ט חוליות: 60400351 | חומר: ABS | DN: 102 | L: 98.2 | H: 10",Square Strainer Gray,"מכסים, הגבהות ורשתות",🚰,sml_p30_d.jpg,,,
60400360,רשת רבועה בז',"מכסים, הגבהות ורשתות",חוליות,,,,"יצרן: חוליות | מק""ט חוליות: 60400360 | חומר: ABS | DN: 102 | L: 98.2 | H: 10",Square Strainer Beige,"מכסים, הגבהות ורשתות",🚰,sml_p30_d.jpg,,,
60760060,אום מעבר מברזל 60 למעבר מברזל,אום SmartLock,חוליות,,,,"יצרן: חוליות | מק""ט חוליות: 60760060 | סימון: אום 60 | DN: 60 | Th: 2⅜"" | L: 22 | W: 76",Iron Transition Nut 60 for Iron Transition,אום SmartLock,🚰,sml_p25_c.jpg,,,
6091601100,צינור PPRCT פייזר מיזוג אוויר 110,צינורות PPR פייזר,פולירול,,,,"חומר: PPRCT · מחוזק בסיבי זכוכית (faser) | dn נומינלי: 110 | de קוטר חיצוני: 110.0–111 | e עובי דופן: 10.0–11.1 | di קוטר פנימי: 87.8–91.0 | SDR: 11 | PN: 16 | משקל ק""ג/מ׳: 3.083 | מק""ט חוליות: 6091601100 | יצרן: Polyroll",PPRCT Pipe 110,PPR Faser Pipes,🟦,ppr_p86_a.jpg,,,
6091601250,צינור PPRCT פייזר מיזוג אוויר 125,צינורות PPR פייזר,פולירול,,,,"חומר: PPRCT · מחוזק בסיבי זכוכית (faser) | dn נומינלי: 125 | de קוטר חיצוני: 125.0–126.2 | e עובי דופן: 11.4–12.7 | di קוטר פנימי: 99.6–103.4 | SDR: 11 | PN: 16 | משקל ק""ג/מ׳: 4.000 | מק""ט חוליות: 6091601250 | יצרן: Polyroll",PPRCT Pipe 125,PPR Faser Pipes,🟦,ppr_p86_a.jpg,,,
6091601600,צינור PPRCT פייזר מיזוג אוויר 160,צינורות PPR פייזר,פולירול,,,,"חומר: PPRCT · מחוזק בסיבי זכוכית (faser) | dn נומינלי: 160 | de קוטר חיצוני: 160.0–161.5 | e עובי דופן: 14.6–16.2 | di קוטר פנימי: 127.6–132.3 | SDR: 11 | PN: 16 | משקל ק""ג/מ׳: 6.450 | מק""ט חוליות: 6091601600 | יצרן: Polyroll",PPRCT Pipe 160,PPR Faser Pipes,🟦,ppr_p86_a.jpg,,,
6091602000,צינור PPRCT פייזר מיזוג אוויר 200,צינורות PPR פייזר,פולירול,,,,"חומר: PPRCT · מחוזק בסיבי זכוכית (faser) | dn נומינלי: 200 | de קוטר חיצוני: 200.0–201.8 | e עובי דופן: 18.2–20.2 | di קוטר פנימי: 159.6–165.4 | SDR: 11 | PN: 16 | משקל ק""ג/מ׳: 9.950 | מק""ט חוליות: 6091602000 | יצרן: Polyroll",PPRCT Pipe 200,PPR Faser Pipes,🟦,ppr_p86_a.jpg,,,
6091602200,צינור PPRCT פייזר מיזוג אוויר 20×2.8,צינורות PPR פייזר,פולירול,,,,"שם מלא: צינור פולירול PPRCT פייזר הולירומה למים חמים וקרים | תיאור: צינור מיזוג אוויר (blue pipe) | יצרן: Heliroma | מק""ט יצרן: P-16020-FCT | PN: 16 | SDR: 7.4 | חומר: PPRCT · מחוזק בסיבי זכוכית (faser) | dn נומינלי: 20 | de קוטר חיצוני: 20.0–20.3 | e עובי דופן: 2.8–3.2 | di קוטר פנימי: 13.6–14.7 | משקל (ק""ג/מ׳): 0.153 | תקנים: EN ISO 15874 · DIN 8077/8078 | לחץ עבודה (50 שנה): 24.5 בר ב-20°C · 8.1 בר ב-70°C | אורך: 4 מ׳","Polyroll Heliroma PPRCT Faser Pipe (AQUATHERM blue, AC)",PPR Faser Pipes,🟦,ppr_p86_a.jpg,,,
6091602500,צינור PPRCT פייזר מיזוג אוויר 250,צינורות PPR פייזר,פולירול,,,,"חומר: PPRCT · מחוזק בסיבי זכוכית (faser) | dn נומינלי: 250 | de קוטר חיצוני: 250.0–252.3 | e עובי דופן: 22.7–25.1 | di קוטר פנימי: 199.8–206.9 | SDR: 11 | PN: 16 | משקל ק""ג/מ׳: 15.500 | מק""ט חוליות: 6091602500 | יצרן: Polyroll",PPRCT Pipe 250,PPR Faser Pipes,🟦,ppr_p86_a.jpg,,,
6091602550,צינור PPRCT פייזר מיזוג אוויר 25,צינורות PPR פייזר,פולירול,,,,"חומר: PPRCT · מחוזק בסיבי זכוכית (faser) | dn נומינלי: 25 | de קוטר חיצוני: 25.0–25.3 | e עובי דופן: 3.5–4.0 | di קוטר פנימי: 17.0–18.3 | SDR: 7.4 | PN: 20 | משקל ק""ג/מ׳: 0.233 | מק""ט חוליות: 6091602550 | יצרן: Polyroll",PPRCT Pipe 25,PPR Faser Pipes,🟦,ppr_p86_a.jpg,,,
6091603200,צינור PPRCT פייזר מיזוג אוויר 32,צינורות PPR פייזר,פולירול,,,,"חומר: PPRCT · מחוזק בסיבי זכוכית (faser) | dn נומינלי: 32 | de קוטר חיצוני: 32.0–32.3 | e עובי דופן: 4.4–5.0 | di קוטר פנימי: 22.0–23.5 | SDR: 7.4 | PN: 20 | משקל ק""ג/מ׳: 0.387 | מק""ט חוליות: 6091603200 | יצרן: Polyroll",PPRCT Pipe 32,PPR Faser Pipes,🟦,ppr_p86_a.jpg,,,
6091604400,צינור PPRCT פייזר מיזוג אוויר 40,צינורות PPR פייזר,פולירול,,,,"חומר: PPRCT · מחוזק בסיבי זכוכית (faser) | dn נומינלי: 40 | de קוטר חיצוני: 40.0–40.4 | e עובי דופן: 3.7–4.2 | di קוטר פנימי: 31.6–33.0 | SDR: 11 | PN: 16 | משקל ק""ג/מ׳: 0.421 | מק""ט חוליות: 6091604400 | יצרן: Polyroll",PPRCT Pipe 40,PPR Faser Pipes,🟦,ppr_p86_a.jpg,,,
6091605000,צינור PPRCT פייזר מיזוג אוויר 50,צינורות PPR פייזר,פולירול,,,,"חומר: PPRCT · מחוזק בסיבי זכוכית (faser) | dn נומינלי: 50 | de קוטר חיצוני: 50.0–50.5 | e עובי דופן: 4.6–5.2 | di קוטר פנימי: 39.6–41.3 | SDR: 11 | PN: 16 | משקל ק""ג/מ׳: 0.663 | מק""ט חוליות: 6091605000 | יצרן: Polyroll",PPRCT Pipe 50,PPR Faser Pipes,🟦,ppr_p86_a.jpg,,,
6091606300,צינור PPRCT פייזר מיזוג אוויר 63,צינורות PPR פייזר,פולירול,,,,"חומר: PPRCT · מחוזק בסיבי זכוכית (faser) | dn נומינלי: 63 | de קוטר חיצוני: 63.0–63.6 | e עובי דופן: 5.8–6.5 | di קוטר פנימי: 50.0–52.0 | SDR: 11 | PN: 16 | משקל ק""ג/מ׳: 1.032 | מק""ט חוליות: 6091606300 | יצרן: Polyroll",PPRCT Pipe 63,PPR Faser Pipes,🟦,ppr_p86_a.jpg,,,
6091607500,צינור PPRCT פייזר מיזוג אוויר 75,צינורות PPR פייזר,פולירול,,,,"חומר: PPRCT · מחוזק בסיבי זכוכית (faser) | dn נומינלי: 75 | de קוטר חיצוני: 75.0–75.7 | e עובי דופן: 6.8–7.6 | di קוטר פנימי: 59.8–62.1 | SDR: 11 | PN: 16 | משקל ק""ג/מ׳: 1.459 | מק""ט חוליות: 6091607500 | יצרן: Polyroll",PPRCT Pipe 75,PPR Faser Pipes,🟦,ppr_p86_a.jpg,,,
6091609000,צינור PPRCT פייזר מיזוג אוויר 90,צינורות PPR פייזר,פולירול,,,,"חומר: PPRCT · מחוזק בסיבי זכוכית (faser) | dn נומינלי: 90 | de קוטר חיצוני: 90.0–90.9 | e עובי דופן: 8.2–9.2 | di קוטר פנימי: 71.6–74.5 | SDR: 11 | PN: 16 | משקל ק""ג/מ׳: 2.110 | מק""ט חוליות: 6091609000 | יצרן: Polyroll",PPRCT Pipe 90,PPR Faser Pipes,🟦,ppr_p86_a.jpg,,,
61040360,מפתח לאום תבריג 40-32,אביזרים משלימים,חוליות,,,,"יצרן: חוליות | מק""ט חוליות: 61040360 | סימון: 40-32 | חומר: נילון 66 | DH1: 32-1¼"" | DH2: 40-1¼""",Wrench for Threaded Nut 40-32,אביזרים משלימים,🚰,sml_p43_c.jpg,,,
61060560,מפתח לאום תבריג 69-50,אביזרים משלימים,חוליות,,,,"יצרן: חוליות | מק""ט חוליות: 61060560 | סימון: 69-50 | חומר: נילון 66 | DH1: 50-2"" | DH2: 69-2⅜""",Wrench for Threaded Nut 69-50,אביזרים משלימים,🚰,sml_p43_c.jpg,,,
610708,"פקק שטוח לתבריג 2⅜""",אטמים ופקקים,ליפסקי,,,,"דגם: פקק 23/8"" | R: 23/8"" | M: 22 | L: 7 | D1: 80 | תיאור: פקק שטוח לתבריג",Black rubber gasket for plug,"Gaskets, Nuts & Plugs",⚫,610708.jpeg,,,
610758,מפתח לאביק,כלי עבודה,ליפסקי,,,,תיאור: מפתח לאביק,Wrench for Avic,Tools,🔧,610758.jpeg,,,
610893,סט מפתחות,כלי עבודה,ליפסקי,,,,"מידה: מתאים לאום במידות: 2 3/8"", 2"", 1.5"" | תיאור: מתאים לאום במידות: 2 3/8"", 2"", 1.5""",Wrench Set for Avic,Tools,🔧,610893.jpeg,,,
610906,רשת פנימית עגולה לבן,כיסויים,ליפסקי,,,,תיאור: רשת פנימית עגולה,Inner drainage cover - white,Collectors & Drains,⬜,610906.jpeg,,,
610911,רשת עליונה לבן,כיסויים,ליפסקי,,,,תיאור: רשת עליונה,Cap/Cover white,Collectors & Drains,⬜,610911.jpeg,,,
610918,מכסה עגול עליון קבוע לבן,כיסויים,ליפסקי,,,,מידות: Ø113 / Ø95 / Ø98 | תיאור: מכסה עגול עליון קבוע,Top drainage cap - white,Collectors & Drains,⬜,610918.jpeg,,,
610920,מכסה עגול עליון קבוע אפור,כיסויים,ליפסקי,,,,מידות: Ø113 / Ø95 / Ø98 | תיאור: מכסה עגול עליון קבוע,Temporary drainage cap - travertine,Collectors & Drains,⬜,610920.jpeg,,,
610921,מכסה זמני,כיסויים,ליפסקי,,,,מידות: Ø105 / Ø99 | תיאור: בבודדים,Temporary drainage cap,Collectors & Drains,⬜,610921.jpeg,,,
610933,רשת שרוול עגולה לבנה,כיסויים,ליפסקי,,,,תיאור: רשת שרוול עגולה לבנה,Extended drainage cover,Collectors & Drains,⬜,610933.jpeg,,,
610949,"מאריך למחסום (סיפון) 1.25"" לבן",מחסומים גלויים,ליפסקי,,,,"מק""ט פיה: NO.610949 | צבע: לבן | תיאור: מאריך למחסום (סיפון) 1.25"" לבן","1.25"" Bottle trap extension",Visible Traps,🚰,610949.jpeg,,,
61100062,מערכת ניקוז לאמבט 2002,סיפונים SmartLock,חוליות,,,,"יצרן: חוליות | מק""ט חוליות: 61100062 | דגם: 2002 | חומר: PP | DN: 40 | D: 45 | D2: 28 | L: 65",Bathtub Drainage System 2002,סיפונים SmartLock,🚰,sml_p38_b.jpg,,,
611045,"פיה קומפלט למכונת כביסה 1.25"" (לסיפון מס. 2,4)",מחסומים גלויים,ליפסקי,,,,"ייעוד: למכונת כביסה | מק""ט פיה: 611045 | צבע: לבן | תיאור: פיה למכונת כביסה, שקית קומפלט (מתאימה לסיפון מס' 2,4 קומפלט 1.25"")",Outlet connection for washing machine Outlet connection for dishwasher,Visible Traps,🚰,611045.jpeg,,,
611051,"פקק שטוח לתבריג 1.25""",אטמים ופקקים,ליפסקי,,,,"דגם: פקק 1.25"" | R: 1.25"" | M: 16 | L: 6 | D1: 50 | תיאור: פקק שטוח לתבריג","Flat screwing plug 1.25""","Gaskets, Nuts & Plugs",⚫,611051.jpeg,,,
61110141,פקק + שרשרת (שרשרת+10),אביזרים משלימים,חוליות,,,,"יצרן: חוליות | מק""ט חוליות: 61110141 | שם: פקק + שרשרת (שרשרת+10) | חומר: גומי אלסטומרי",Plug + Chain (Chain+10),אביזרים משלימים,🚰,sml_p43_a.jpg,,,
61116041,מצחיה קומפלט לאביק לאמבט,אביזרים משלימים,חוליות,,,,"יצרן: חוליות | מק""ט חוליות: 61116041 | שם: מצחיה קומפלט לאביק לאמבט",Complete Cap for Bathtub Drain Inlet,אביזרים משלימים,🚰,sml_p43_a.jpg,,,
61230060,"מחסום (סיפון) 1¼"" לכיור רחצה",סיפונים SmartLock,חוליות,,,,"יצרן: חוליות | מק""ט חוליות: 61230060 | חומר: ABS | DN: 32 | t: 75-145 | L: 245 | H: 173-243 | יח׳/ארגז: 42 | יח׳/משטח: 1,008","Floor Drain (Trap) 1¼"" for Washbasin",סיפונים SmartLock,🚰,sml_p31_a.jpg,,,
61230065,"מחסום (סיפון) 1¼"" למכונת כביסה",סיפונים SmartLock,חוליות,,,,"יצרן: חוליות | מק""ט חוליות: 61230065 | חומר: PP+ABS | DN: 32 | DN1: 40 | t: 50 | L: 145 | H: 145","Floor Drain (Trap) 1¼"" for Washing Machine",סיפונים SmartLock,🚰,sml_p37_a.jpg,,,
61233060,"צינור זחיח לסיפון 1¼""",אביזרים משלימים,חוליות,,,,"יצרן: חוליות | מק""ט חוליות: 61233060 | שם: צינור זחיח לסיפון 1¼"" | חומר: PP","Sliding Pipe for Trap 1¼""",אביזרים משלימים,🚰,sml_p40_b.jpg,,,
61233161,"משפך 1¼"" קומפלט",אביזרים משלימים,חוליות,,,,"יצרן: חוליות | מק""ט חוליות: 61233161 | שם: משפך 1¼"" קומפלט | חומר: PP","Funnel 1¼"" Complete",אביזרים משלימים,🚰,sml_p42_b.jpg,,,
61233162,"משפך ארוך 1¼"" קומפלט",אביזרים משלימים,חוליות,,,,"יצרן: חוליות | מק""ט חוליות: 61233162 | שם: משפך ארוך 1¼"" קומפלט | חומר: PP","Long Funnel 1¼"" Complete",אביזרים משלימים,🚰,sml_p42_b.jpg,,,
61233172,"ניקוז כיור 1¼"" ללא סיפון",סיפונים SmartLock,חוליות,,,,"יצרן: חוליות | מק""ט חוליות: 61233172 | L: 283 | W: 252","Sink Drain 1¼"" without Trap",סיפונים SmartLock,🚰,sml_p32_a.jpg,,,
61233260,"מכלול לסיפון 1¼"" (ללא משפך)",אביזרים משלימים,חוליות,,,,"יצרן: חוליות | מק""ט חוליות: 61233260 | שם: מכלול לסיפון 1¼"" | חומר: ABS","Assembly for Trap 1¼"" (without Funnel)",אביזרים משלימים,🚰,sml_p40_a.jpg,,,
61233360,"מחסום (סיפון) 1¼"" עם כניסה למזגן",סיפונים SmartLock,חוליות,,,,"יצרן: חוליות | מק""ט חוליות: 61233360 | חומר: ABS | DN: 32 | D1: 19 | t: 92-145 | L: 245 | H: 190-243","Floor Drain (Trap) 1¼"" with Air Conditioner Inlet",סיפונים SmartLock,🚰,sml_p31_c.jpg,,,
61233361,"מבוא זחיח 1¼"" עם חיבור למזגן",אביזרים משלימים,חוליות,,,,"יצרן: חוליות | מק""ט חוליות: 61233361 | חומר: PP | DN: 32 | D: 19 | L: 119","Sliding Inlet 1¼"" with Air Conditioner Connection",אביזרים משלימים,🚰,sml_p41_b.jpg,,,
